Token: 49, Valor: \_ esto es un comentario inicial _/, línea: 0, columna: 1
Token: 48, Valor: t, línea: 20, columna: 64 (Error léxico)
Token: 48, Valor: i, línea: 20, columna: 65 (Error léxico)
Token: 48, Valor: c, línea: 20, columna: 66 (Error léxico)
Token: 48, Valor: o, línea: 20, columna: 67 (Error léxico)
Token: 43, Valor: envia, línea: 21, columna: 12
Token: 50, Valor: finregalo, línea: 21, columna: 18
Token: 48, Valor: @, línea: 21, columna: 28 (Error léxico)
Token: 48, Valor: s, línea: 21, columna: 29 (Error léxico)
Token: 48, Valor: i, línea: 21, columna: 30 (Error léxico)
Token: 48, Valor: n, línea: 21, columna: 31 (Error léxico)
Token: 48, Valor: t, línea: 21, columna: 32 (Error léxico)
Token: 48, Valor: a, línea: 21, columna: 33 (Error léxico)
Token: 48, Valor: c, línea: 21, columna: 34 (Error léxico)
Token: 48, Valor: t, línea: 21, columna: 35 (Error léxico)
Token: 48, Valor: i, línea: 21, columna: 36 (Error léxico)
Token: 48, Valor: c, línea: 21, columna: 37 (Error léxico)
Token: 48, Valor: o, línea: 21, columna: 38 (Error léxico)
Token: 12, Valor: cierracuento, línea: 22, columna: 9
Token: 35, Valor: elfo, línea: 24, columna: 8
Token: 16, Valor: abreregalo, línea: 24, columna: 14
Token: 47, Valor: _var_, línea: 24, columna: 25
Token: 30, Valor: mary, línea: 24, columna: 31
Token: 7, Valor: 0, línea: 24, columna: 36
Token: 17, Valor: cierraregalo, línea: 24, columna: 38
Token: 11, Valor: abrecuento, línea: 25, columna: 9
Token: 43, Valor: envia, línea: 26, columna: 12
Token: 50, Valor: finregalo, línea: 26, columna: 18
Token: 12, Valor: cierracuento, línea: 27, columna: 9
Token: 36, Valor: hada, línea: 28, columna: 8
Token: 11, Valor: abrecuento, línea: 29, columna: 9
Token: 43, Valor: envia, línea: 30, columna: 12
Token: 50, Valor: finregalo, línea: 30, columna: 18
Token: 12, Valor: cierracuento, línea: 31, columna: 9
Token: 39, Valor: varios, línea: 33, columna: 8
Token: 16, Valor: abreregalo, línea: 33, columna: 15
Token: 47, Valor: _ch_, línea: 33, columna: 26
Token: 17, Valor: cierraregalo, línea: 33, columna: 31
Token: 11, Valor: abrecuento, línea: 33, columna: 46
Token: 40, Valor: historia, línea: 34, columna: 12
Token: 7, Valor: 1, línea: 34, columna: 21
Token: 44, Valor: sigue, línea: 34, columna: 23
Token: 47, Valor: _id_, línea: 34, columna: 29
Token: 24, Valor: quien, línea: 34, columna: 34
Token: 50, Valor: finregalo, línea: 34, columna: 41
Token: 40, Valor: historia, línea: 35, columna: 12
Token: 7, Valor: 2, línea: 35, columna: 21
Token: 44, Valor: sigue, línea: 35, columna: 23
Token: 47, Valor: _id_, línea: 35, columna: 29
Token: 25, Valor: grinch, línea: 35, columna: 34
Token: 50, Valor: finregalo, línea: 35, columna: 41
Token: 43, Valor: envia, línea: 36, columna: 12
Token: 50, Valor: finregalo, línea: 36, columna: 18
Token: 41, Valor: ultimo, línea: 37, columna: 12
Token: 44, Valor: sigue, línea: 37, columna: 19
Token: 47, Valor: _id_, línea: 37, columna: 25
Token: 15, Valor: entrega, línea: 37, columna: 30
Token: 47, Valor: _id_, línea: 37, columna: 38
Token: 50, Valor: finregalo, línea: 37, columna: 43
Token: 12, Valor: cierracuento, línea: 38, columna: 13
Token: 12, Valor: cierracuento, línea: 40, columna: 5
Token: 43, Valor: envia, línea: 41, columna: 4
Token: 7, Valor: 1, línea: 41, columna: 10
Token: 50, Valor: finregalo, línea: 41, columna: 12
Token: 48, Valor: @, línea: 41, columna: 22 (Error léxico)
Token: 48, Valor: h, línea: 41, columna: 23 (Error léxico)
Token: 48, Valor: o, línea: 41, columna: 24 (Error léxico)
Token: 48, Valor: l, línea: 41, columna: 25 (Error léxico)
Token: 48, Valor: a, línea: 41, columna: 26 (Error léxico)
Token: 12, Valor: cierracuento, línea: 42, columna: 1
Token: 2, Valor: rodolfo, línea: 44, columna: 0
Token: 51, Valor: _verano_, línea: 44, columna: 8
Token: 16, Valor: abreregalo, línea: 44, columna: 18
Token: 17, Valor: cierraregalo, línea: 44, columna: 31
Token: 11, Valor: abrecuento, línea: 44, columna: 46
Token: 49, Valor: \_ 
Comentario 1 
_/, línea: 45, columna: 0
Token: 48, Valor: @, línea: 49, columna: 0 (Error léxico)
Token: 48, Valor: c, línea: 49, columna: 1 (Error léxico)
Token: 48, Valor: o, línea: 49, columna: 2 (Error léxico)
Token: 48, Valor: m, línea: 49, columna: 3 (Error léxico)
Token: 48, Valor: e, línea: 49, columna: 4 (Error léxico)
Token: 48, Valor: n, línea: 49, columna: 5 (Error léxico)
Token: 48, Valor: t, línea: 49, columna: 6 (Error léxico)
Token: 48, Valor: a, línea: 49, columna: 7 (Error léxico)
Token: 48, Valor: r, línea: 49, columna: 8 (Error léxico)
Token: 48, Valor: i, línea: 49, columna: 9 (Error léxico)
Token: 48, Valor: o, línea: 49, columna: 10 (Error léxico)
Token: 7, Valor: 2, línea: 49, columna: 12
Token: 46, Valor: escucha, línea: 50, columna: 4
Token: 16, Valor: abreregalo, línea: 50, columna: 13
Token: 47, Valor: _s1_, línea: 50, columna: 25
Token: 17, Valor: cierraregalo, línea: 50, columna: 31
Token: 50, Valor: finregalo, línea: 50, columna: 46
Token: 45, Valor: narra, línea: 51, columna: 4
Token: 16, Valor: abreregalo, línea: 51, columna: 10
Token: 47, Valor: _b1_, línea: 51, columna: 22
Token: 17, Valor: cierraregalo, línea: 51, columna: 28
Token: 50, Valor: finregalo, línea: 51, columna: 43
Token: 48, Valor: m, línea: 52, columna: 4 (Error léxico)
Token: 48, Valor: i, línea: 52, columna: 5 (Error léxico)
Token: 48, Valor: F, línea: 52, columna: 6 (Error léxico)
Token: 48, Valor: u, línea: 52, columna: 7 (Error léxico)
Token: 48, Valor: n, línea: 52, columna: 8 (Error léxico)
Token: 48, Valor: c, línea: 52, columna: 9 (Error léxico)
Token: 16, Valor: abreregalo, línea: 52, columna: 12
Token: 47, Valor: _miFunc_, línea: 52, columna: 24
Token: 16, Valor: abreregalo, línea: 52, columna: 34
Token: 17, Valor: cierraregalo, línea: 52, columna: 47
Token: 48, Valor: ,, línea: 52, columna: 61 (Error léxico)
Token: 48, Valor: ', línea: 52, columna: 62 (Error léxico)
Token: 48, Valor: a, línea: 52, columna: 63 (Error léxico)
Token: 48, Valor: ', línea: 52, columna: 64 (Error léxico)
Token: 17, Valor: cierraregalo, línea: 52, columna: 67
Token: 50, Valor: finregalo, línea: 53, columna: 2
Token: 43, Valor: envia, línea: 54, columna: 4
Token: 47, Valor: _bl1_, línea: 54, columna: 10
Token: 50, Valor: finregalo, línea: 54, columna: 16
Token: 12, Valor: cierracuento, línea: 55, columna: 1
