Comentario: \_ esto es un comentario inicial _/, línea: 0, columna: 0
Token: 17, Valor: abreregalo, línea: 30, columna: 13
Token: 49, Valor: _ch_, línea: 30, columna: 24
Token: 18, Valor: cierraregalo, línea: 30, columna: 29
Token: 12, Valor: abrecuento, línea: 30, columna: 44
Token: 41, Valor: historia, línea: 31, columna: 9
Token: 7, Valor: 1, línea: 31, columna: 18
Token: 45, Valor: sigue, línea: 31, columna: 20
Token: 49, Valor: _id_, línea: 31, columna: 26
Token: 25, Valor: quien, línea: 31, columna: 31
Token: 50, Valor: finregalo, línea: 31, columna: 38
Token: 41, Valor: historia, línea: 32, columna: 9
Token: 7, Valor: 2, línea: 32, columna: 18
Token: 45, Valor: sigue, línea: 32, columna: 20
Token: 49, Valor: _id_, línea: 32, columna: 26
Token: 26, Valor: grinch, línea: 32, columna: 31
Token: 50, Valor: finregalo, línea: 32, columna: 38
Token: 44, Valor: envia, línea: 33, columna: 9
Token: 50, Valor: finregalo, línea: 33, columna: 15
Token: 42, Valor: ultimo, línea: 34, columna: 9
Token: 45, Valor: sigue, línea: 34, columna: 16
Token: 49, Valor: _id_, línea: 34, columna: 22
Token: 16, Valor: entrega, línea: 34, columna: 27
Token: 49, Valor: _id_, línea: 34, columna: 35
Token: 50, Valor: finregalo, línea: 34, columna: 40
Token: 13, Valor: cierracuento, línea: 35, columna: 6
Token: 13, Valor: cierracuento, línea: 37, columna: 3
Token: 44, Valor: envia, línea: 39, columna: 3
Token: 7, Valor: 1, línea: 39, columna: 9
Token: 50, Valor: finregalo, línea: 39, columna: 11
Token: 13, Valor: cierracuento, línea: 40, columna: 0
Token: 2, Valor: rodolfo, línea: 43, columna: 0
Token: 51, Valor: _verano_, línea: 43, columna: 8
Token: 17, Valor: abreregalo, línea: 43, columna: 18
Token: 18, Valor: cierraregalo, línea: 43, columna: 31
Token: 12, Valor: abrecuento, línea: 43, columna: 46
Comentario: \_ 
   Comentario 1 
   _/, línea: 44, columna: 3
Token: 48, Valor: escucha, línea: 48, columna: 3
Token: 17, Valor: abreregalo, línea: 48, columna: 12
Token: 49, Valor: _s1_, línea: 48, columna: 24
Token: 18, Valor: cierraregalo, línea: 48, columna: 30
Token: 50, Valor: finregalo, línea: 48, columna: 45
Token: 47, Valor: narra, línea: 49, columna: 3
Token: 17, Valor: abreregalo, línea: 49, columna: 9
Token: 49, Valor: _b1_, línea: 49, columna: 21
Token: 18, Valor: cierraregalo, línea: 49, columna: 27
Token: 50, Valor: finregalo, línea: 49, columna: 42
Token: 49, Valor: _miFunc_, línea: 50, columna: 3
Token: 17, Valor: abreregalo, línea: 50, columna: 12
Token: 49, Valor: _miFunc_, línea: 50, columna: 24
Token: 17, Valor: abreregalo, línea: 50, columna: 34
Token: 18, Valor: cierraregalo, línea: 50, columna: 47
Token: 46, Valor: ,, línea: 50, columna: 61
Token: 11, Valor: 'a', línea: 50, columna: 62
Token: 18, Valor: cierraregalo, línea: 50, columna: 67
Token: 50, Valor: finregalo, línea: 50, columna: 80
Token: 44, Valor: envia, línea: 51, columna: 3
Token: 49, Valor: _bl1_, línea: 51, columna: 9
Token: 50, Valor: finregalo, línea: 51, columna: 15
Token: 13, Valor: cierracuento, línea: 52, columna: 0
